iter	Logloss
0	0.6915172752
1	0.6899669691
2	0.6880059784
3	0.6864639046
4	0.6838820271
5	0.6818333421
6	0.6802395929
7	0.6793740328
8	0.6777449514
9	0.6760562012
10	0.6742228743
11	0.6723345977
12	0.6707696152
13	0.6692691956
14	0.6669082246
15	0.6652946481
16	0.6643944651
17	0.6635507636
18	0.6616493069
19	0.6602026504
20	0.658260781
21	0.6572904404
22	0.6557963637
23	0.6547852417
24	0.6537183254
25	0.6526938994
26	0.6511729772
27	0.6497287537
28	0.6483821284
29	0.6474141366
30	0.6458818743
31	0.6450182447
32	0.644257252
33	0.6429539305
34	0.6423277196
35	0.641238899
36	0.6398629141
37	0.6379907263
38	0.6365190674
39	0.635135694
40	0.6342848242
41	0.6334780248
42	0.6327032458
43	0.6315912986
44	0.6308160901
45	0.6299178752
46	0.6282269827
47	0.6269332709
48	0.626276329
49	0.624849971
50	0.6238346269
51	0.6226853045
52	0.6210805342
53	0.6200722748
54	0.6185231765
