iter	Passed	Remaining
0	3335	3332373
1	6694	3340526
2	10041	3336962
3	13381	3332096
4	16885	3360115
5	20240	3353158
6	23600	3347831
7	26882	3333421
8	30296	3335977
9	33702	3336534
10	37098	3335465
11	40524	3336515
12	43843	3328718
13	47202	3324392
14	50721	3330736
15	54103	3327386
16	57488	3324179
17	60791	3316536
18	64182	3313838
19	67619	3313378
20	71124	3315768
21	74492	3311511
22	77914	3309667
23	81355	3308445
24	84674	3302293
25	88025	3297585
26	91461	3295993
27	94841	3292371
28	98195	3287868
29	101534	3282938
30	104888	3278622
31	108180	3272461
32	111572	3269423
33	114941	3265685
34	118292	3261490
35	121643	3257355
36	125069	3255183
37	128572	3254917
38	131979	3252101
39	135460	3251058
40	138786	3246246
41	142144	3242245
42	145477	3237713
43	148902	3235247
44	152308	3232325
45	155643	3227907
46	159151	3227057
47	162570	3224316
48	165852	3218888
49	169394	3218504
50	172841	3216204
51	176233	3212879
52	179681	3210530
53	183017	3206197
54	186522	3204795
