iter	Passed	Remaining
0	715	714334
1	1405	701405
2	2093	695780
3	2757	686616
4	3464	689443
5	4147	687182
6	4848	687767
7	5543	687394
8	6250	688289
9	6946	687739
10	7637	686657
11	8332	686054
12	9024	685142
13	9728	685177
14	10416	684025
15	11119	683827
16	11813	683115
17	12489	681390
18	13179	680480
19	13880	680165
20	14597	680503
21	15299	680130
22	15975	678598
23	16675	678129
24	17371	677477
25	18084	677474
26	18796	677355
27	19514	677443
28	20194	676163
29	20878	675078
30	21570	674254
31	22302	674646
32	22974	673219
33	23658	672171
34	24355	671525
35	25048	670743
36	25743	670033
37	26424	668954
38	27118	668235
39	27829	667899
40	28541	667591
41	29268	667594
42	29974	667106
43	30675	666493
44	31380	665965
45	32088	665488
46	32790	664881
47	33522	664865
48	34226	664265
49	34906	663232
50	35606	662564
51	36304	661860
52	36979	660742
53	37665	659842
54	38355	659025
55	39089	658936
56	39756	657717
57	40439	656793
58	41151	656324
59	41835	655422
60	42506	654316
61	43222	653914
62	43978	654095
63	44674	653367
64	45382	652806
65	46112	652567
66	46806	651801
67	47520	651310
68	48222	650658
69	48924	649995
70	49613	649165
71	50326	648656
72	51000	647632
73	51704	646999
74	52423	646560
75	53099	645577
76	53806	644976
77	54519	644443
78	55233	643921
79	55953	643469
80	56656	642811
81	57350	642043
82	58031	641143
83	58711	640240
84	59430	639748
85	60122	638971
86	60805	638107
87	61508	637454
88	62228	636967
89	62955	636553
90	63649	635790
91	64350	635111
92	65004	633968
93	65679	633043
94	66362	632186
95	67047	631366
96	67714	630371
97	68388	629451
98	69069	628606
99	69767	627909
100	70452	627094
101	71137	626290
102	71843	625663
103	72514	624741
104	73181	623783
105	73863	622959
106	74552	622200
107	75234	621377
108	75916	620561
109	76597	619744
110	77284	618972
111	77956	618080
112	78662	617464
113	79336	616600
114	80040	615961
115	80746	615346
116	81420	614484
117	82119	613806
118	82815	613112
119	83502	612350
120	84173	611476
121	84872	610806
122	85549	609973
123	86252	609329
124	86933	608536
125	87640	607917
126	88315	607078
127	88986	606220
128	89679	605507
129	90361	604727
130	91031	603865
131	91702	603011
132	92399	602336
133	93080	601552
134	93808	601067
135	94502	600369
136	95192	599641
137	95867	598823
138	96534	597961
139	97219	597203
140	97876	596285
141	98519	595281
142	99180	594392
143	99824	593402
144	100507	592648
145	101168	591767
146	101840	590951
147	102515	590154
148	103213	589496
149	103873	588615
150	104554	587859
151	105234	587099
152	105944	586502
153	106623	585739
154	107308	585002
155	107966	584128
156	108639	583334
157	109302	582482
158	110003	581843
159	110677	581058
160	111382	580433
161	112034	579537
162	112695	578688
163	113346	577791
164	114044	577132
165	114730	576414
166	115420	575721
167	116064	574796
168	116763	574147
169	117435	573362
170	118098	572534
171	118801	571907
172	119476	571137
173	120157	570402
174	120835	569654
175	121494	568815
176	122171	568064
