iter	Logloss
0	0.6902574371
1	0.6874109045
2	0.6847497304
3	0.6820840499
4	0.6794648775
5	0.6769122019
6	0.6744542407
7	0.6721052229
8	0.6696485884
9	0.667215967
10	0.6648181695
11	0.6626250511
12	0.6603685181
13	0.6582035305
14	0.6559426543
15	0.6537959697
16	0.6517372443
17	0.6496400178
18	0.6475538483
19	0.6456046595
20	0.6436453657
21	0.6417102619
22	0.6398553029
23	0.6380368452
24	0.6362277215
25	0.6343881907
26	0.6326776685
27	0.6308799886
28	0.629213416
29	0.6275721439
30	0.6258041995
31	0.6241615783
32	0.6225227547
33	0.6209250227
34	0.6192859787
35	0.6176609103
36	0.616157386
37	0.6145613251
38	0.6131985029
39	0.611714148
40	0.6102329373
41	0.6088606661
42	0.6074954547
43	0.6060648366
44	0.6046792211
45	0.6032135503
46	0.6017690708
47	0.6005365633
48	0.5992762423
49	0.598045895
50	0.5968400639
51	0.5956645457
52	0.5944537837
53	0.5932353494
54	0.5918917702
55	0.5908574626
56	0.5896780954
57	0.5885844335
58	0.5874341791
59	0.5863316705
60	0.5852512862
61	0.5841411924
62	0.583093688
63	0.5821040779
64	0.5811505118
65	0.5800948112
66	0.5790558618
67	0.5777777514
68	0.5767500834
69	0.5758406638
70	0.5749071937
71	0.5739708895
72	0.5730691152
73	0.5720678798
