iter	Passed	Remaining
0	1241	1240451
1	2458	1226994
2	3633	1207435
3	4864	1211173
4	6147	1223379
5	7417	1228806
6	8664	1229119
7	9889	1226251
8	11076	1219622
9	12343	1221972
10	13578	1220860
11	14820	1220232
12	16042	1217999
13	17326	1220262
14	18594	1221030
15	19798	1217601
16	21032	1216186
17	22283	1215705
18	23552	1216043
19	24762	1213339
20	26001	1212143
21	27175	1208080
22	28391	1206002
23	29634	1205152
24	30841	1202803
25	32115	1203096
26	33350	1201861
27	34604	1201285
28	35898	1201989
29	37404	1209406
30	38622	1207271
31	39807	1204169
32	40950	1199985
33	42182	1198469
34	43424	1197271
35	44656	1195813
36	45909	1194887
37	47180	1194405
38	48435	1193507
39	49702	1192861
40	51018	1193339
41	52303	1193015
42	53544	1191685
43	54816	1191020
44	56081	1190180
45	57373	1189880
46	58627	1188760
47	59887	1187761
48	61104	1185927
49	62338	1184424
50	63513	1181842
51	64722	1179946
52	65952	1178440
53	67169	1176718
54	68431	1175772
55	69737	1175577
56	70950	1173787
57	72192	1172503
58	73474	1171851
59	74663	1169732
60	75910	1168521
61	77155	1167292
62	78404	1166106
63	79643	1164779
64	80932	1164178
65	82235	1163752
66	83530	1163187
67	84790	1162125
68	86157	1162499
69	87522	1162798
70	88774	1161573
71	90020	1160261
72	91249	1158742
73	92597	1158720
