iter	Logloss
0	0.692604216
1	0.6919047928
2	0.6914011535
3	0.6908883316
4	0.6902527463
5	0.6897452369
6	0.6894505503
7	0.6890124609
8	0.6879111627
9	0.6872060939
10	0.6867544708
11	0.6863414376
12	0.6857132876
13	0.685016638
14	0.6847053824
15	0.6842725736
16	0.6839646457
17	0.6836039352
18	0.6830885343
19	0.6825887628
20	0.6819487437
21	0.6815716919
22	0.681083272
23	0.6807357646
24	0.6802667737
25	0.6800836948
26	0.6795202236
27	0.6792225718
28	0.6788445935
29	0.6784342019
30	0.6780398852
31	0.677626993
32	0.677175189
33	0.6769007845
34	0.6765337032
35	0.6761912521
36	0.6757841196
37	0.6753029626
38	0.6747791152
39	0.6745944978
40	0.6743993158
41	0.6739906912
42	0.6737476744
43	0.6732198434
44	0.6729034229
45	0.6725379043
46	0.6723182278
47	0.6719512189
48	0.6716047133
49	0.6711026279
50	0.6703932793
51	0.6701559225
52	0.6698028334
53	0.6694289072
54	0.6688223647
55	0.6684779461
56	0.6680902672
57	0.6675537026
58	0.6667500877
59	0.6662392672
60	0.6655921336
61	0.6654154713
62	0.6650798972
63	0.6648317097
64	0.6644660602
65	0.6641608152
66	0.6639161074
67	0.6634904122
68	0.6632822867
69	0.6631315632
70	0.6629794291
71	0.6626384233
72	0.6623850246
73	0.6619976666
74	0.661573454
75	0.6613776186
76	0.6612952373
77	0.6608686218
78	0.6605570307
79	0.6603910414
80	0.6602651428
81	0.6599679652
82	0.6597177056
83	0.6592177616
84	0.6585692365
85	0.6583749775
86	0.6579185983
87	0.6576006634
88	0.6573002951
89	0.657000689
90	0.6564653793
91	0.6561687938
92	0.6558863055
93	0.6556445078
94	0.6553381519
95	0.6549524737
96	0.6544786998
97	0.6539357194
98	0.6535545551
99	0.6530416043
100	0.6526057465
101	0.6523228457
102	0.6521805803
103	0.6516517103
104	0.6513108792
105	0.6508738569
106	0.6501465116
107	0.6497021128
108	0.6492197997
109	0.6488108288
110	0.6486063631
111	0.6482363383
112	0.6478515007
113	0.6476490196
114	0.6473433277
115	0.6469462195
116	0.6465291727
117	0.6462168214
118	0.6461053126
119	0.6458337315
120	0.6453117951
121	0.6449215462
122	0.6444261839
123	0.6440996813
124	0.6436503586
125	0.6432655662
126	0.6430177714
127	0.6428119781
128	0.6423302282
129	0.6417388416
130	0.6414932265
131	0.6412711852
132	0.6410208366
133	0.6406841137
134	0.6402678663
135	0.6398887399
136	0.6396507399
137	0.6394042077
138	0.639049939
139	0.638501656
140	0.6383536367
141	0.6381657798
142	0.6376829578
143	0.6375428457
144	0.637290356
145	0.6368507787
146	0.6364759871
147	0.6362035472
148	0.635952903
149	0.6356905299
150	0.635366956
151	0.6351882217
152	0.6349234085
153	0.6347225371
154	0.6344216953
155	0.6340644327
156	0.6337193975
157	0.6334011779
158	0.6331359647
159	0.6329158009
160	0.6324217078
161	0.6323620686
162	0.6321749204
163	0.6320053438
164	0.6318083019
165	0.6312970181
166	0.6311121469
167	0.6308943089
168	0.6305382182
169	0.630324388
170	0.6302611772
171	0.6299002733
172	0.6295619988
173	0.6292882262
174	0.6288262015
175	0.6285807258
176	0.6283954313
177	0.6279725588
178	0.6275886076
179	0.6273587468
180	0.6271516722
181	0.6267645891
182	0.6265774438
183	0.6261040714
184	0.6257644922
185	0.6253782686
186	0.6252865523
187	0.6250386175
188	0.6247705836
189	0.6244781557
190	0.624172474
191	0.6238052576
192	0.623641829
193	0.6233783336
194	0.6230963172
195	0.6228249887
196	0.6226114713
197	0.6222818254
198	0.6222223637
199	0.6219242031
200	0.6217840723
201	0.6215046767
202	0.6212059831
203	0.6210391096
204	0.6208407948
205	0.6206288976
206	0.6203260982
207	0.6200961762
208	0.6197447541
209	0.6195039931
210	0.6187999891
211	0.6185110459
212	0.618025777
213	0.6177556165
214	0.6174495517
215	0.6170900874
216	0.6168609497
217	0.6165731456
218	0.616207252
219	0.6158089036
220	0.6153810729
221	0.6151247161
222	0.6150193305
223	0.6146464071
224	0.6145206448
225	0.6140968076
226	0.6138501196
227	0.6134417043
228	0.6131134779
229	0.6127689875
230	0.6122559649
231	0.6120769305
232	0.6117216702
233	0.6114793501
234	0.6112351483
235	0.6108256398
236	0.6103863446
237	0.6100400555
238	0.6095052519
239	0.6092878309
240	0.6090621782
241	0.6083610942
242	0.608102255
243	0.6077342791
244	0.6075330459
245	0.6074739978
246	0.6072630133
247	0.6071405762
248	0.606781287
249	0.6064846789
250	0.6062364982
251	0.6061231144
252	0.6058765488
253	0.6055800332
254	0.6051225696
255	0.6046661746
256	0.6041669825
257	0.6039803252
258	0.6038646019
259	0.6035868768
260	0.6032142837
261	0.6030166892
262	0.6026674577
263	0.6022552839
264	0.6018934954
265	0.6016790839
266	0.6014668404
267	0.6011524322
268	0.6006503102
269	0.600484764
270	0.6003587843
271	0.6001568407
272	0.5999818002
273	0.5998797787
274	0.5995566294
275	0.5993112298
276	0.5989984065
277	0.5987181111
278	0.5984579435
279	0.5983288562
280	0.5978768311
281	0.5975156569
282	0.5973295777
283	0.5971358629
284	0.5968412717
285	0.596729697
286	0.5963224441
287	0.5961561988
288	0.5956697278
289	0.595448489
290	0.595228185
291	0.5950279386
292	0.5947155836
293	0.594418143
294	0.5941433621
295	0.5938920541
296	0.5937561755
297	0.5935787412
298	0.5932961033
299	0.5930912359
300	0.5928457062
301	0.5925669518
302	0.5922025154
303	0.5919551879
304	0.5916136006
305	0.5913850434
306	0.5911760909
307	0.5909737122
308	0.5905661998
309	0.5903543378
310	0.5900347574
311	0.5897424569
312	0.5894009118
313	0.5892436316
314	0.5890639487
315	0.5888750001
316	0.5885615536
317	0.5883832064
318	0.5881360189
319	0.5877147291
320	0.5874940945
321	0.5873587531
322	0.5872276614
323	0.5869478413
324	0.5866530656
325	0.5863277419
326	0.5862089503
327	0.5859789768
328	0.5858141189
329	0.5854839919
330	0.5851736714
331	0.5850777617
332	0.5848008923
333	0.5846321593
334	0.5844846804
335	0.5842151198
336	0.5838143965
337	0.583567861
338	0.5833819651
339	0.5831658079
340	0.5828123862
341	0.5825242379
342	0.5820592834
343	0.5819416398
344	0.5817168918
345	0.5816212072
346	0.5815300384
347	0.5813106179
348	0.5809146004
349	0.5805081856
350	0.5802997682
351	0.5798953578
352	0.5794295053
353	0.5791229991
354	0.5788820561
355	0.5787064011
356	0.5785158939
357	0.5782397094
358	0.5780760186
359	0.5777810907
360	0.5774365553
361	0.5772189491
362	0.577071542
363	0.5768348893
364	0.5766492105
365	0.5762691949
366	0.5760476433
367	0.575800297
368	0.5755754982
369	0.5753735818
370	0.5750348199
371	0.5748078861
372	0.574573716
373	0.574303514
374	0.5739415731
375	0.5737620043
376	0.5735489174
377	0.5730858266
378	0.5728018657
379	0.572526588
380	0.5721248379
381	0.5716587267
382	0.5713530903
383	0.5711596485
384	0.5708148545
385	0.5705115415
386	0.5700828771
387	0.5698582848
388	0.5694451491
389	0.5690761156
390	0.5689244672
391	0.5686501403
392	0.568304485
393	0.5682013644
394	0.5679208328
395	0.5677014627
396	0.5674445071
397	0.5672344014
398	0.5669609617
399	0.5666679926
400	0.5663352315
401	0.5661171237
402	0.5659070781
403	0.5656666128
404	0.565438578
405	0.5650950063
406	0.5647893092
407	0.564609362
408	0.5642512724
409	0.5638925918
410	0.5633759731
411	0.5632258468
412	0.5630368495
413	0.5628238608
414	0.5626001
415	0.562252437
416	0.5620663032
417	0.561789797
418	0.5612719721
419	0.5610933886
420	0.5607686092
421	0.560498359
422	0.5601698104
423	0.5598988475
424	0.5597612729
425	0.5595676894
426	0.5591551766
427	0.5587885458
428	0.5584008141
429	0.557980867
430	0.5574165922
431	0.5571165056
432	0.5567634043
433	0.5565309205
434	0.5563808681
435	0.5559843294
436	0.5554421598
437	0.5551037644
438	0.5544359742
439	0.5541107306
440	0.5539443434
441	0.5536020844
442	0.5532165632
443	0.5529613011
444	0.5525720796
445	0.5523580026
446	0.5519653204
447	0.551345025
448	0.5510676809
449	0.5505073316
450	0.5502546112
451	0.5499209374
452	0.5496001012
453	0.5493284409
454	0.5489547796
455	0.5482796974
456	0.547942254
457	0.5477138558
458	0.5474959555
459	0.5471463442
460	0.5469564478
461	0.5467135747
462	0.5463250856
463	0.5458227498
464	0.5455430044
465	0.5450504811
466	0.5447745335
467	0.5445500856
468	0.5443344427
469	0.5439819834
470	0.5436409403
471	0.5433081026
472	0.543154573
473	0.542867074
474	0.5423201085
475	0.5421057377
476	0.541803779
477	0.5414780035
478	0.5411254039
479	0.5408014568
480	0.54055839
481	0.5400607134
482	0.5397923133
483	0.5395960584
484	0.5393145689
485	0.5392022406
486	0.538961312
