iter	Passed	Remaining
0	13	13627
1	23	11633
2	33	11051
3	42	10658
4	49	9778
5	55	9150
6	60	8608
7	66	8215
8	71	7902
9	76	7533
10	80	7217
11	84	6962
12	88	6744
13	93	6557
14	97	6386
15	101	6250
16	105	6125
17	110	6006
18	114	5897
19	118	5812
20	122	5720
21	126	5644
22	131	5576
23	135	5512
24	139	5453
25	144	5398
26	148	5355
27	153	5312
28	157	5262
29	161	5220
30	166	5202
31	171	5175
32	175	5139
33	179	5105
34	183	5067
35	187	5033
36	192	5003
37	196	4976
38	200	4947
39	205	4920
40	209	4900
41	214	4897
42	219	4882
43	224	4873
44	229	4873
45	234	4869
46	239	4854
47	243	4834
48	248	4815
49	252	4794
50	256	4776
51	260	4756
52	265	4741
53	269	4721
54	273	4704
55	277	4686
56	282	4667
57	286	4649
58	290	4633
59	294	4619
60	299	4606
61	303	4590
62	307	4576
63	311	4562
64	316	4547
65	320	4536
66	324	4522
67	329	4509
68	333	4498
69	337	4489
70	342	4475
71	346	4463
72	350	4451
73	354	4438
74	358	4426
75	363	4416
76	367	4406
77	371	4393
78	375	4383
79	380	4372
80	384	4361
81	388	4348
82	392	4336
83	396	4328
84	401	4318
85	405	4308
86	409	4299
87	414	4291
88	418	4282
89	422	4270
90	426	4264
91	431	4261
92	436	4259
93	441	4256
94	446	4253
95	450	4244
96	455	4236
97	459	4232
98	465	4235
99	470	4234
100	475	4233
101	480	4229
102	484	4222
103	489	4213
104	493	4206
105	497	4199
106	502	4190
107	506	4181
108	510	4174
109	514	4165
110	519	4157
111	523	4148
112	527	4141
113	531	4133
114	536	4126
115	541	4123
116	545	4117
117	549	4110
118	554	4103
119	558	4094
120	562	4086
121	566	4079
122	571	4072
123	575	4065
124	579	4057
125	583	4050
126	588	4043
127	592	4036
128	596	4029
129	600	4022
130	605	4014
131	609	4008
132	613	4001
133	618	3994
134	622	3986
135	626	3979
136	630	3974
137	635	3972
138	641	3971
139	646	3970
140	651	3966
141	655	3962
142	660	3957
143	664	3951
144	669	3945
145	673	3939
146	677	3932
147	681	3925
148	686	3918
149	690	3913
150	695	3907
151	699	3900
152	703	3893
153	707	3887
154	711	3880
155	716	3874
156	720	3870
157	725	3868
158	730	3863
159	735	3858
160	739	3855
161	742	3840
162	746	3834
163	750	3827
164	755	3822
165	759	3816
166	763	3809
167	768	3805
